Region,Year,Section,Indicator
New England,2025,Seafood Production,"Stock status (F/Fmsy, B/Bmsy)"
New England,2025,Seafood Production,Survey biomass by feeding guild
New England,2025,Commercial Profits,Total revenue
New England,2025,Commercial Profits,NEFMC managed species revenue
New England,2025,Commercial Profits,Bennet Indicator (price vs volume)
New England,2025,Commercial Profits,Revenue by feeding guild
New England,2025,Commercial Profits,Total Community Climate Vulnerability of revenue
New England,2025,Recreational Opportunities,Angler trips (recreational effort)
New England,2025,Recreational Opportunities,Recreational fleet diversity
New England,2025,Stability,Commercial fleet count
New England,2025,Stability,Commercial species revenue diversity
New England,2025,Stability,Recreational species catch diversity
New England,2025,Stability,Total annual primary production
New England,2025,Stability,Zooplankton diversity (Shannon Index)
New England,2025,Stability,Adult fish diversity (expected number of species)
New England,2025,Stability,Fish community functional traits - fecundity
New England,2025,Stability,Fish community functional traits - pace of life
New England,2025,Community Social and Climate Vulnerability,Commercial fishing engagement
New England,2025,Community Social and Climate Vulnerability,Commercial fishing per capita engagement
New England,2025,Community Social and Climate Vulnerability,Social vulnerability indices
New England,2025,Community Social and Climate Vulnerability,Recreational fishing engagement
New England,2025,Community Social and Climate Vulnerability,Recreational per capita engagement
New England,2025,Community Social and Climate Vulnerability,Community total climate vulnerability of revenue
New England,2025,Protected Species,Harbor porpoise bycatch
New England,2025,Protected Species,Gray seal bycatch
New England,2025,Protected Species,North Atlantic Right Whale abundance
New England,2025,Protected Species,North Atlantic Right Whale calf counts
New England,2025,Protected Species,Gray seal pup births
New England,2025,Protected Species,Unusual Mortality Events
New England,2025,Climate Risks - Managing Spatially,Fish distribution shifts (center of gravity)
New England,2025,Climate Risks - Managing Spatially,Marine mammal distribution shifts
New England,2025,Climate Risks - Managing Spatially,Forage fish distribution shifts
New England,2025,Climate Risks - Managing Spatially,Small copepod distribution
New England,2025,Climate Risks - Managing Spatially,Calanus finmarchicus distribution
New England,2025,Climate Risks - Managing Spatially,Macrobenthos distribution
New England,2025,Climate Risks - Managing Spatially,Sea surface temperature
New England,2025,Climate Risks - Managing Spatially,Gulf Stream position
New England,2025,Climate Risks - Managing Seasonally,Spawning timing shifts
New England,2025,Climate Risks - Managing Seasonally,HMS and whale migration timing changes
New England,2025,Climate Risks - Managing Seasonally,Ocean summer length
New England,2025,Climate Risks - Managing Seasonally,Cold Pool persistence
New England,2025,Climate Risks - Managing Seasonally,Phytoplankton bloom timing
New England,2025,Climate Risks - Managing Seasonally,Spawning-environment relationships
New England,2025,Climate Risks - Setting Catch Limits,Fish productivity (small per large fish)
New England,2025,Climate Risks - Setting Catch Limits,Fish productivity (recruitment per SSB)
New England,2025,Climate Risks - Setting Catch Limits,Common tern productivity
New England,2025,Climate Risks - Setting Catch Limits,Atlantic salmon return rates
New England,2025,Climate Risks - Setting Catch Limits,Fish condition
New England,2025,Climate Risks - Setting Catch Limits,Forage fish energy density
New England,2025,Climate Risks - Setting Catch Limits,Forage fish biomass
New England,2025,Climate Risks - Setting Catch Limits,Macrobenthos biomass
New England,2025,Climate Risks - Setting Catch Limits,Megabenthos biomass
New England,2025,Climate Risks - Setting Catch Limits,Zooplankton biomass and composition
New England,2025,Climate Risks - Setting Catch Limits,Calanus finmarchicus abundance
New England,2025,Climate Risks - Setting Catch Limits,Temperature extremes and marine heatwaves
New England,2025,Climate Risks - Setting Catch Limits,Ocean acidification
New England,2025,Climate Risks - Setting Catch Limits,Hypoxia
New England,2025,Climate Risks - Setting Catch Limits,"Predator populations (gray seals, HMS)"
New England,2025,Offshore Wind Risks,Development timeline and lease areas
New England,2025,Offshore Wind Risks,NEFMC fishery revenue from lease areas
New England,2025,Offshore Wind Risks,NEFMC fishery landings from lease areas
New England,2025,Offshore Wind Risks,Port-level revenue from lease areas
New England,2025,Offshore Wind Risks,Community social vulnerability in wind areas
New England,2025,Offshore Wind Risks,Right whale habitat overlap
New England,2025,Offshore Wind Risks,Survey area overlap
New England,2025,2024 Highlights,Labrador Slope Water influx
New England,2025,2024 Highlights,Gulf Stream position anomaly
New England,2025,2024 Highlights,Arctic Calanus presence
New England,2025,2024 Highlights,Species migration delays
New England,2025,2024 Highlights,Species redistribution
New England,2025,2024 Highlights,Chesapeake Bay conditions
New England,2025,2024 Highlights,Upwelling events and unusual blooms
New England,2025,2024 Highlights,Whale aggregations
New England,2025,2024 Highlights,Ocean acidification extremes
New England,2025,2024 Highlights,Scallop recruitment variability
South Atlantic,2021,Climate Drivers,Atlantic Multidecadal Oscillation (AMO)
South Atlantic,2021,Climate Drivers,North Atlantic Oscillation (NAO)
South Atlantic,2021,Climate Drivers,El Niño Southern Oscillation (ENSO)
South Atlantic,2021,Climate Drivers,North Atlantic Sea Surface Temperature Tripole
South Atlantic,2021,Climate Drivers,Atlantic Warm Pool (AWP)
South Atlantic,2021,Physical and Chemical Pressures,Sea surface temperature
South Atlantic,2021,Physical and Chemical Pressures,Bottom temperature
South Atlantic,2021,Physical and Chemical Pressures,Decadal temperature
South Atlantic,2021,Physical and Chemical Pressures,Florida Current transport
South Atlantic,2021,Physical and Chemical Pressures,Gulf Stream position
South Atlantic,2021,Physical and Chemical Pressures,Upwelling
South Atlantic,2021,Physical and Chemical Pressures,Coastal salinity
South Atlantic,2021,Physical and Chemical Pressures,Stream flow
South Atlantic,2021,Physical and Chemical Pressures,Nutrient loading
South Atlantic,2021,Physical and Chemical Pressures,Precipitation and drought
South Atlantic,2021,Physical and Chemical Pressures,Sea level rise
South Atlantic,2021,Physical and Chemical Pressures,Storms and hurricanes
South Atlantic,2021,Physical and Chemical Pressures,Ocean acidification
South Atlantic,2021,Habitat States,Wetlands and forests
South Atlantic,2021,Habitat States,Submerged aquatic vegetation (SAV)
South Atlantic,2021,Habitat States,Oyster reefs
South Atlantic,2021,Habitat States,Coral demographics
South Atlantic,2021,Habitat States,Coral bleaching
South Atlantic,2021,Lower Trophic Level States,Primary productivity
South Atlantic,2021,Lower Trophic Level States,Zooplankton
South Atlantic,2021,Lower Trophic Level States,Ichthyoplankton diversity and abundance
South Atlantic,2021,Lower Trophic Level States,Forage fish abundance
South Atlantic,2021,Upper Trophic Level States,Nearshore demersal fish diversity and abundance
South Atlantic,2021,Upper Trophic Level States,Offshore hard bottom fish diversity and abundance
South Atlantic,2021,Upper Trophic Level States,Coastal shark diversity and abundance
South Atlantic,2021,Upper Trophic Level States,Coral reef fish diversity and abundance
South Atlantic,2021,Upper Trophic Level States,Mean trophic level
South Atlantic,2021,Upper Trophic Level States,Life history parameters
South Atlantic,2021,Ecosystem Services,Biomass of economically important species
South Atlantic,2021,Ecosystem Services,Recruitment of economically important species
South Atlantic,2021,Ecosystem Services,Commercial landings and revenue
South Atlantic,2021,Ecosystem Services,Recreational landings and effort
South Atlantic,2021,Ecosystem Services,"Estuarine shrimp, crab, and oyster landings"
South Atlantic,2021,Ecosystem Services,Status of federally managed stocks
South Atlantic,2021,Ecosystem Services,Marine bird abundance
South Atlantic,2021,Ecosystem Services,Marine mammal strandings
South Atlantic,2021,Ecosystem Services,Sea turtle nest counts
South Atlantic,2021,Human Dimensions,Human population
South Atlantic,2021,Human Dimensions,Coastal and urban land use
South Atlantic,2021,Human Dimensions,Total ocean economy
South Atlantic,2021,Human Dimensions,Social connectedness
